date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,POONAWALLA,467.70,470.95,462.90,0.473,12.76,483.40,401.10,106.90,64.34,1338551,0.784,440.91,471.00,465.50,440.05,471.00,465.90,3.25,0.093,514,267.20
25th Aug,GRANULES,460.70,469.10,456.60,0.480,12.69,518.45,432.60,18.23,52.43,2554631,2.70,471.69,449.73,458.50,471.69,448.61,460.95,36.01,0.018,721,422
25th Aug,IIFL,458.50,465,453,1.64,15.15,538.15,418.10,-9.66,48.77,980736,1.48,479.66,472.28,451.10,479.66,472.28,455.75,18.21,0.086,560.60,279.80
25th Aug,SONACOMS,451.15,455,446.70,0.334,13.12,504.50,431.35,11.40,51.79,1166645,1.30,470.91,440.62,449.65,470.91,440.62,449.65,41.31,0.035,768.65,380
25th Aug,VEDL,450.30,451.50,444.05,1.36,9.47,475,420.65,138.39,63.20,13542699,0.810,428.74,438.26,444.25,428.36,438.10,446.90,14.55,0.044,526.95,363
25th Aug,HINDZINC,434.70,436.80,422.85,2.31,8.30,520.05,413.50,72.39,62.31,2994389,3.62,435.55,424.13,424.90,435.55,424.13,423,24.45,0.031,807.70,378.15
25th Aug,OIL,409.35,410.80,405.30,-0.012,9.06,491.50,396.50,-76.90,36.28,1014751,0.775,425.15,413.45,409.40,425.15,413.45,409.40,44.28,0.051,767.90,325
25th Aug,PFC,399.30,401.25,398.40,-0.138,8.02,438.35,388.60,-155.27,30.71,3576408,0.577,416.35,407.45,399.85,416.35,407.45,399.85,29.50,0.026,580,357.25
25th Aug,ITC,399.35,400.55,396.25,0.264,5.12,425.90,396.25,-189.17,24.78,10440084,0.798,408.43,403.41,398.30,412.19,407.09,399,24.44,0.006,528.50,390.15
25th Aug,EXIDEIND,400.25,403.60,392.40,1.06,8.88,403.60,370.10,140.99,70.46,2509364,1.35,380.79,389.56,396.05,380.79,389.56,397,25.10,0.046,620.35,328
25th Aug,HINDPETRO,390.25,391.50,387.60,-0.128,9.25,455.20,383.05,-101.28,34.36,1235179,0.470,409.19,399.37,390.75,411.53,401.05,390.50,14.63,0.068,457.15,287.55
25th Aug,TATAPOWER,383.25,388.40,382.40,-0.609,5.80,416.75,376,-59.23,35.31,4216545,1.39,397.67,391.53,385.60,397.93,383.76,386.05,22.55,0.039,494.85,326.35
25th Aug,COALINDIA,380,380.75,374.80,1.48,5.41,397.70,370.20,-38.00,46.75,4349818,0.926,387.24,381.88,374.45,387.24,381.88,375,28.17,0.022,543.55,349.25
25th Aug,RECLTD,375.05,378.35,374.75,-0.146,5.69,409.80,374.75,-127.55,29.01,1964171,0.565,388.63,382.59,375.60,390.97,384.66,376.95,40.97,0.013,654,357.35
25th Aug,BEL,372.05,380.05,371.50,-0.747,7.85,436,371.10,-142.56,30.73,8577516,0.563,390.45,382.45,374.85,390.45,382.45,377.85,14.67,0.095,436,240.25
25th Aug,BIOCON,359.95,363.70,358.20,0.125,8.79,406,331,-38.18,44.51,932555,0.911,342.21,352.83,359.50,341.67,352.83,361.15,11.34,0.053,406,291
25th Aug,INDUSTOWER,354.75,357.70,351.30,0.339,9.46,430,328,19.75,61.78,4414881,0.260,335.32,344.91,353.55,334.41,344.36,356.75,22.88,0.034,460.35,312.75
25th Aug,NTPC,337.85,341.40,337.05,0.252,5.51,345.60,321.35,66.15,51.65,7142387,0.837,330.61,342.77,337,330.61,342.77,337.05,24.66,0.040,448.45,292.80
25th Aug,RVNL,321.65,326.95,321,-0.649,9.27,413.45,316.50,-96.57,26.42,2419995,0.624,343.07,333.52,323.75,345.35,335.40,325.45,48.08,0.016,647,305
25th Aug,JIOFIN,319.70,322.35,318.35,-0.281,6.14,338.60,282.70,-83.95,35.18,11444981,1.30,319.23,326.76,320.60,319.23,329.88,322,11.93,0.119,394.70,198.65
25th Aug,CROMPTON,322.90,323.95,316.60,1.96,7.50,362,314,-37.36,49.79,2048981,0.921,330.92,327.65,316.70,330.92,328.38,318.20,33.29,0.021,484,301
25th Aug,ETERNAL,319.25,323.80,316.55,0.047,8.17,331.35,246.85,91.41,60.53,20879541,0.913,307.71,316.78,319.10,307.71,316.78,320,3.65,0.123,331.35,194.80
25th Aug,BPCL,315.80,318.95,314.50,-0.205,7.18,358.65,307.15,-64.79,38.50,2840338,0.945,326.67,324.19,316.45,326.67,325.32,318.95,16.01,0.082,376,234.01
