date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,TATACOMM,1604.50,-66.67,-77.66,-146.14,-166.79,-186.74,-89.16,-26.02,-16.62,1692.48
22nd Aug,DHANUKA,1604.20,-66.67,-99.02,-63.27,-72.50,-115.19,-0.587,29.92,41.61,1703.06
22nd Aug,CIPLA,1592.80,66.67,100.32,120.97,150.23,248.48,253.50,230.52,233.39,1535.70
22nd Aug,WABAG,1591.60,-66.67,-53.54,56.70,68.30,75.15,86.07,99.47,110.27,1528.55
22nd Aug,DPABHUSHAN,1588.80,-66.67,-122.92,-172.65,-48.62,43.54,73.29,93.69,54.25,1568.38
22nd Aug,PHOENIXLTD,1578,66.67,76.51,122.35,217.88,53.48,31.60,21.27,11.22,1494.60
22nd Aug,RAINBOW,1577.40,-66.67,-2.48,70.60,119.38,96.72,106.70,114.82,131.50,1506.57
22nd Aug,CDSL,1574.40,-66.67,-129.46,42.69,-28.48,-74.44,6.14,36.81,46.75,1502.98
22nd Aug,GRINDWELL,1573.50,66.67,105.40,210.84,-23.66,-70.25,-96.26,-73.56,-78.58,1478.94
22nd Aug,HAVELLS,1556,-66.67,-104.68,59.29,88.49,62.77,8.35,36.63,28.31,1498.58
22nd Aug,IKS,1554.60,-66.67,-116.35,-53.66,-123.50,-82.25,-19.83,-10.57,-33.58,1656.67
22nd Aug,OLECTRA,1553.50,66.67,117.83,130.06,122.45,151.34,208.83,238.05,208.47,1433.48
22nd Aug,TECHNOE,1545,66.67,109.55,146.34,90.26,49.46,66.68,77.17,91.94,1419.38
22nd Aug,BALAMINES,1532,-66.67,-60.13,-6.39,-72.46,-39.08,5.42,32.56,20.67,1649.06
22nd Aug,DEEPAKFERT,1529.10,66.67,93.43,163.94,-17.50,-49.92,26.55,52.06,67.68,1551.40
22nd Aug,CHOLAFIN,1524.10,66.67,-6.60,68.23,30.18,-29.61,-49.41,-15.39,24.11,1448.47
22nd Aug,MTARTECH,1520.40,66.67,17.54,54.70,17.41,-59.21,-32.02,11.42,9.67,1449.78
22nd Aug,BDL,1517.60,-66.67,-81.35,-53.51,-91.30,-114.37,-81.91,-21.70,0.897,1487.23
22nd Aug,VINDHYATEL,1512.10,-66.67,-71.41,-24.01,-72.82,-123.58,-32.12,4.31,-6.44,1608.45
22nd Aug,VENKEYS,1506.50,66.67,67.72,108.82,-4.01,-64.91,-103.07,-124.70,-129.65,1430.43
22nd Aug,RANEHOLDIN,1505,66.67,63.74,72.36,-45.11,-74.59,12.98,39.81,43.50,1550.82
22nd Aug,TECHM,1505,-66.67,17.89,64.70,5.35,-59.37,-38.61,-7.96,-28.14,1452.74
22nd Aug,ZENTEC,1492.60,66.67,133.33,225.66,-53.31,-107.14,-76.44,-40.80,-39.21,1533.92
22nd Aug,EMCURE,1490,66.67,30.18,77.69,149.31,165.26,110.12,109.45,118.17,1386.51
22nd Aug,INFY,1487.50,-66.67,57.16,121.09,-16.48,-70.78,-59.49,-63.55,-74.57,1438.21
22nd Aug,AMBIKCO,1484.70,-66.67,-133.33,72.78,-42.09,-77.64,-25.06,10.09,11.06,1406.64
22nd Aug,WOCKPHARMA,1479.40,-66.67,-71.68,-74.35,-89.07,-108.86,-29.43,-7.65,-1.47,1583.56
22nd Aug,SOBHA,1478.60,-66.67,-87.00,-130.14,-103.05,-75.07,12.41,39.11,54.79,1590.60
22nd Aug,IFBIND,1475.10,66.67,-38.02,63.64,73.22,1.74,32.62,60.71,49.66,1372.06
22nd Aug,HCLTECH,1466.30,-66.67,-75.78,-103.16,-61.63,-88.43,-100.98,-92.31,-102.56,1509.46
22nd Aug,ARMANFIN,1458,-66.67,0.802,48.97,-69.22,-109.59,-87.05,-24.03,-9.58,1370.92
22nd Aug,SPECTRUM,1450,-66.67,-90.68,-122.09,-131.10,-121.58,-130.74,NaN,NaN,1578.24
22nd Aug,SASKEN,1443,-66.67,-105.36,-131.63,-139.77,-92.66,-88.79,-68.45,-62.31,1432.18
22nd Aug,TBOTEK,1442.60,-66.67,-133.33,9.50,71.33,96.09,94.85,107.53,50.44,1375.82
22nd Aug,DHUNINV,1441.10,-66.67,37.30,-29.01,-105.84,-101.00,-92.23,-81.95,-74.60,1534.39
22nd Aug,ICICIBANK,1436.40,-66.67,18.94,53.75,-33.90,-14.27,1.43,44.14,55.70,1456.09
22nd Aug,SUDARSCHEM,1433.80,66.67,-50.80,-106.30,50.29,103.16,127.26,129.68,147.59,1372.03
22nd Aug,NESCO,1433,-66.67,-55.15,63.19,112.97,118.13,134.58,161.41,194.91,1344.40
22nd Aug,ASTRAL,1425.10,66.67,73.66,104.20,5.45,-51.95,-9.38,19.16,12.64,1341.62
22nd Aug,ACUTAAS,1423.90,66.67,120.25,116.08,140.09,194.56,266.70,280.68,266.87,1315.98
22nd Aug,APOLSINHOT,1422.10,66.67,-34.17,33.95,-7.47,44.13,71.89,96.52,37.34,1330.63
22nd Aug,NEOGEN,1422.10,-66.67,-6.63,65.49,-67.34,-129.50,-145.08,-152.48,-125.00,1489.59
22nd Aug,IPCALAB,1418.40,66.67,125.35,144.71,-55.53,-20.73,-26.83,-8.91,-27.79,1457.39
22nd Aug,MANORAMA,1414,66.67,68.36,87.53,-63.82,-43.85,7.08,41.03,54.39,1486.99
22nd Aug,ACCELYA,1410,-66.67,7.51,86.61,102.07,37.81,67.21,70.09,51.53,1431.58
22nd Aug,RELIANCE,1409.20,-66.67,-39.86,72.40,-8.69,-49.33,-16.88,30.01,44.43,1380.50
