date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,JUBLFOOD,647.80,66.67,93.33,59.71,-51.34,-91.80,-119.55,-80.52,-94.04,655.97
25th Aug,VIMTALABS,647.10,-66.67,-102.27,-30.94,41.08,91.31,134.10,165.58,185.31,712.90
25th Aug,IZMO,646.30,66.67,90.90,190.17,441.78,411.10,376.49,374.84,321.10,539.70
25th Aug,BALUFORGE,645.50,66.67,118.22,155.81,33.67,-31.18,6.58,31.71,36.53,595.10
25th Aug,MARATHON,645,-66.67,-11.01,48.06,-68.03,-7.23,37.60,60.73,70.37,683.65
25th Aug,HITECHGEAR,641.50,-66.67,-94.26,-44.93,-119.03,-118.93,-31.31,-5.81,-19.40,698.41
25th Aug,WONDERLA,641.05,66.67,76.86,109.23,42.18,17.66,-28.96,-35.81,-47.38,604.62
25th Aug,AVANTIFEED,637.45,-66.67,-104.22,-102.36,-90.69,-141.49,-118.82,-125.03,-114.14,680.86
25th Aug,JBMA,636.65,66.67,90.18,83.66,52.43,-25.58,-47.63,0.263,-11.03,608.29
25th Aug,RAYMONDREL,636.40,-66.67,-80.61,-82.98,-88.02,NaN,NaN,NaN,NaN,701.91
25th Aug,CREATIVE,635.30,-66.67,-77.96,-32.64,-38.07,-78.26,-93.64,-110.72,-91.12,614.22
25th Aug,SIYSIL,633.15,66.67,49.73,76.23,-30.13,-79.37,-110.13,-98.52,-98.40,579.46
25th Aug,ATGL,631.25,66.67,45.73,75.51,10.09,-44.82,-42.86,-10.01,-3.67,600.17
25th Aug,TANLA,630.45,66.67,28.91,80.17,-29.05,-45.26,36.26,55.22,62.62,601.81
25th Aug,ICICIPRULI,629.65,66.67,-54.65,10.85,3.62,-41.35,-4.74,35.50,45.29,614.71
25th Aug,RAYMOND,628,66.67,-59.40,1.36,-71.01,-40.78,4.16,35.81,50.15,656.46
25th Aug,ROSSARI,626.10,-66.67,-108.30,-134.13,-103.94,-170.17,-185.38,-96.45,-95.87,669.82
25th Aug,SOLARA,623,-66.67,-85.68,53.43,-21.02,36.34,62.18,84.37,88.47,652.58
25th Aug,EVERESTIND,621.10,66.67,-47.97,75.06,169.38,192.21,193.47,197.40,117.23,568.57
25th Aug,SHRIRAMFIN,620.85,66.67,100.24,21.22,-57.60,-93.86,-92.19,-91.03,-18.45,645.56
25th Aug,JINDRILL,620.70,-66.67,-83.25,-11.90,-8.05,-47.39,-61.58,-61.60,-69.90,603.61
25th Aug,ARVSMART,619,-66.67,-21.39,74.32,-6.31,-64.81,-90.27,-110.21,-116.15,592.76
25th Aug,GALLANTT,618.50,66.67,-26.77,-61.78,-52.43,28.69,60.25,84.72,104.44,691.18
25th Aug,TEMBO,614.20,66.67,111.74,88.26,172.93,235.11,227.91,205.28,78.57,554.30
25th Aug,DREDGECORP,613.50,-66.67,-89.18,-129.44,-129.66,-161.46,-91.33,-34.76,-40.20,653.78
25th Aug,TEJASNET,609.40,-66.67,22.88,95.21,27.67,-49.79,-84.92,-106.72,-103.15,575.96
25th Aug,ARROWGREEN,606,66.67,39.49,-27.43,-87.46,-81.65,-66.86,-27.26,-38.66,651.27
25th Aug,ADANIPOWER,605.65,66.67,75.06,80.16,77.01,80.27,100.00,107.34,115.55,571.05
25th Aug,ASTERDM,600.70,66.67,-57.84,-32.57,39.93,48.97,70.16,73.67,84.81,586.15
25th Aug,PICCADIL,600.45,66.67,-65.61,-103.34,-67.13,NaN,NaN,NaN,NaN,647.30
25th Aug,SRHHYPOLTD,600,-66.67,-92.76,-108.15,-85.83,-92.77,-4.33,25.70,14.09,647.00
25th Aug,DICIND,599.90,66.67,41.73,78.44,-64.35,-109.14,-124.30,-143.78,-160.85,637.39
25th Aug,KRISHANA,595.50,66.67,82.19,104.60,162.37,183.17,130.81,125.46,133.57,555.22
25th Aug,MANORG,595,-66.67,-81.30,48.28,117.93,78.56,76.31,91.65,109.25,568.06
25th Aug,HAPPSTMNDS,595,66.67,-10.52,75.13,-41.90,-70.59,-48.93,-48.24,-61.64,606.46
25th Aug,GENESYS,594.10,-66.67,-114.99,17.49,-29.14,-77.02,-97.60,-103.85,-101.16,608.84
25th Aug,SARDAEN,593.80,-66.67,-116.85,69.16,98.06,174.40,232.67,204.41,241.13,547.32
25th Aug,HEUBACHIND,591.55,66.67,1.63,-23.56,-17.45,49.83,79.15,103.02,71.00,603.72
25th Aug,BAJAJELEC,591.20,66.67,-59.93,42.70,-68.17,-119.58,-66.54,-39.67,-56.33,610.83
25th Aug,RPEL,591,-66.67,-86.98,-159.96,-90.85,-134.06,-128.37,-38.76,-31.03,635.47
25th Aug,BALRAMCHIN,590,66.67,84.37,98.42,15.89,-14.91,20.52,50.55,63.17,553.61
25th Aug,BANCOINDIA,589.20,66.67,41.03,61.08,-39.61,-38.90,32.43,51.24,65.37,601.70
25th Aug,AWHCL,587.90,-66.67,-99.62,-64.60,-82.07,-100.99,-19.52,12.22,13.05,628.15
25th Aug,SUMICHEM,587.15,-66.67,-47.52,27.36,-20.59,57.45,86.71,102.82,122.00,625.02
25th Aug,RAMKY,586.95,-66.67,-2.01,82.67,34.14,70.53,94.17,113.14,120.29,560.21
25th Aug,TIPSMUSIC,586.30,66.67,-54.80,-73.29,-61.56,-102.28,-134.89,-145.86,-157.87,619.23
25th Aug,EMAMILTD,585.45,-66.67,-133.33,-38.82,-10.36,29.69,-23.41,-0.717,15.52,630.92
25th Aug,AWFIS,584.70,66.67,87.51,80.37,-39.31,-86.58,-111.60,-116.49,-133.12,604.51
25th Aug,PGEL,584,66.67,101.17,131.27,-70.08,-146.46,-201.44,-204.30,-224.20,498.52
