date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,REFEX,378.85,66.67,-60.86,-38.96,-122.35,-152.22,-143.01,-106.01,-110.88,410.00
22nd Aug,RALLIS,378.05,66.67,13.30,30.29,60.20,86.55,105.12,106.78,122.00,352.99
22nd Aug,INDIANHUME,378.05,-66.67,-133.33,-16.72,-98.33,-145.49,-124.36,-43.14,-8.57,404.51
22nd Aug,USHAMART,377.20,66.67,133.33,114.77,45.97,70.14,94.10,117.80,129.69,349.92
22nd Aug,INDIACEM,376.50,-66.67,33.96,106.42,151.50,157.59,149.79,138.41,137.61,362.06
22nd Aug,ZUARI,376.40,-66.67,61.64,71.99,86.61,152.57,223.85,286.62,347.81,381.87
22nd Aug,RECLTD,375.60,-66.67,-133.33,-159.83,-138.39,-182.23,-161.20,-141.78,-123.08,390.97
22nd Aug,BSOFT,375.40,-66.67,-5.09,62.92,-74.77,-116.25,-110.64,-96.01,-88.92,392.83
22nd Aug,CREST,375,-66.67,-73.19,7.31,-36.38,-74.51,-84.82,-49.03,-59.66,386.96
22nd Aug,BEL,374.85,66.67,-18.96,-92.57,-108.52,-121.06,-2.34,30.79,47.70,390.45
22nd Aug,GRMOVER,374.75,66.67,101.56,111.53,16.39,52.74,69.73,87.05,97.24,350.64
22nd Aug,GEPIL,374.60,66.67,60.80,94.03,167.35,249.92,174.76,189.54,203.77,339.73
22nd Aug,COALINDIA,374.45,-66.67,-92.51,-151.02,-116.68,-141.55,-136.89,-108.52,-73.99,387.24
22nd Aug,THOMASCOTT,373.65,-66.67,-4.65,76.33,108.77,97.27,125.01,140.62,59.59,352.10
22nd Aug,SONATSOFTW,372.80,-66.67,43.46,84.78,-39.04,-88.67,-61.14,-28.87,-54.54,343.65
22nd Aug,VGUARD,372.65,-66.67,-75.96,59.21,-43.94,-62.30,-39.20,11.18,13.17,377.77
22nd Aug,HERANBA,371.15,66.67,127.86,150.39,-4.43,46.19,74.61,98.01,89.10,317.70
22nd Aug,5PAISA,371,-66.67,-128.33,-26.71,-81.40,-119.77,-100.22,-40.41,-47.35,390.57
22nd Aug,BANSALWIRE,370.20,-66.67,-114.06,36.13,-72.21,-70.21,-39.78,-13.58,-16.70,390.45
22nd Aug,VIDHIING,370,-66.67,-67.74,-52.94,-109.99,-164.60,-197.22,-207.37,-173.17,395.33
22nd Aug,DOLLAR,369,66.67,47.89,46.32,-63.12,-83.47,-109.84,-115.95,-115.77,380.71
22nd Aug,FSL,368.55,-66.67,42.60,94.24,113.64,25.69,35.23,56.91,61.97,349.26
22nd Aug,BLS,368.15,-66.67,-77.37,-78.65,-90.63,-60.63,-51.93,-25.79,-45.82,389.90
22nd Aug,GODIGIT,368,-66.67,59.21,113.18,133.50,141.55,107.05,112.18,128.73,346.41
22nd Aug,REPCOHOME,367.25,-66.67,-104.70,-92.66,-112.69,-164.26,-145.21,-46.13,-41.47,393.34
22nd Aug,SANGAMIND,365.60,-66.67,-133.33,-87.01,-80.88,-137.55,-162.35,-88.99,-76.38,391.31
22nd Aug,SIS,365,66.67,133.33,15.58,-76.07,-74.02,20.94,46.31,61.22,381.34
22nd Aug,NRAIL,363.70,66.67,75.52,6.47,41.69,57.90,70.73,88.79,91.27,376.89
